date,ticker,eps_surprise_pct,sue
2025-04-02,SBRY,0.48,0.48
2025-04-03,SBRY,0.502,0.502
2025-04-17,SBRY,-0.761,-0.761
2025-04-22,SBRY,-3.566,-3.566
2025-04-23,SBRY,-2.202,-2.202
2025-04-24,SBRY,-2.88,-2.88
2025-05-02,SBRY,-3.108,-3.108
2025-05-06,SBRY,-2.411,-2.411
2025-05-14,SBRY,-1.022,-1.022
2025-05-19,SBRY,-1.016,-1.016
2025-05-22,SBRY,-1.012,-1.012
2025-05-28,SBRY,-0.139,-0.139
2025-06-02,SBRY,-0.252,-0.252
2025-06-05,SBRY,-0.286,-0.286
2025-06-17,SBRY,-0.301,-0.301
2025-06-19,SBRY,-0.403,-0.403
2025-06-25,SBRY,-0.427,-0.427
2025-07-01,SBRY,-0.64,-0.64
2025-07-02,SBRY,-0.278,-0.278
2025-07-04,SBRY,-0.321,-0.321
2025-07-07,SBRY,-0.347,-0.347
2025-07-21,SBRY,-0.685,-0.685
2025-07-28,SBRY,-0.726,-0.726
2025-07-29,SBRY,-1.119,-1.119
2025-07-31,SBRY,-1.168,-1.168
2025-08-11,SBRY,-1.166,-1.166
2025-08-15,SBRY,-1.193,-1.193
2025-08-20,SBRY,-1.229,-1.229
2025-09-08,SBRY,-1.27,-1.27
2025-09-11,SBRY,-1.279,-1.279
2025-09-12,SBRY,-1.039,-1.039
2025-09-15,SBRY,-0.657,-0.657
2025-09-16,SBRY,-0.791,-0.791
2025-09-17,SBRY,-0.748,-0.748
2025-09-18,SBRY,-0.74,-0.74
2025-09-19,SBRY,-0.199,-0.199
2025-09-24,SBRY,-0.964,-0.964
2025-09-29,SBRY,-0.976,-0.976
2025-10-03,SBRY,-1.119,-1.119
2025-10-06,SBRY,-1.163,-1.163
2025-10-10,SBRY,-0.853,-0.853
2025-10-31,SBRY,-0.972,-0.972
2025-11-06,SBRY,-0.907,-0.907
2025-11-07,SBRY,-0.945,-0.945
2025-11-10,SBRY,-0.492,-0.492
2025-11-13,SBRY,-0.56,-0.56
2025-11-20,SBRY,-0.662,-0.662
2025-11-26,SBRY,-0.742,-0.742
2025-12-05,SBRY,-0.624,-0.624
2025-12-10,SBRY,-0.813,-0.813
2025-12-11,SBRY,-0.882,-0.882
2026-01-07,SBRY,-1.059,-1.059
2026-01-08,SBRY,-1.111,-1.111
2026-01-09,SBRY,-0.906,-0.906
2026-01-12,SBRY,-0.377,-0.377
2026-01-13,SBRY,-0.681,-0.681
2026-01-15,SBRY,-0.549,-0.549
2026-01-16,SBRY,-0.588,-0.588
2026-01-28,SBRY,-0.35,-0.35
2026-02-27,SBRY,-0.395,-0.395
2026-03-03,SBRY,-0.418,-0.418
2026-03-10,SBRY,-0.637,-0.637
2026-03-12,SBRY,-0.565,-0.565
2026-03-17,SBRY,-0.584,-0.584
2026-03-19,SBRY,-0.674,-0.674
2026-03-30,SBRY,-0.54,-0.54
2026-04-07,SBRY,-0.576,-0.576
2026-04-23,SBRY,-0.113,-0.113
2026-04-24,SBRY,-0.576,-0.576
2026-04-27,SBRY,-2.329,-2.329
2026-04-28,SBRY,-1.109,-1.109
2026-04-30,SBRY,-0.993,-0.993
2026-05-12,SBRY,-0.929,-0.929
2026-05-19,SBRY,-0.863,-0.863
2026-05-30,SBRY,-0.835,-0.835
2026-06-08,SBRY,-0.851,-0.851
2026-06-09,SBRY,-0.615,-0.615
2026-06-10,SBRY,-0.259,-0.259
2026-06-18,SBRY,0.267,0.267
2026-06-30,SBRY,0.201,0.201
2026-07-01,SBRY,0.161,0.161
2026-07-06,SBRY,0.156,0.156
2026-07-14,SBRY,0.102,0.102
2026-07-26,SBRY,0.048,0.048
2026-07-31,SBRY,-0.107,-0.107
2026-08-03,SBRY,-0.181,-0.181
2026-08-05,SBRY,-0.144,-0.144
2026-08-06,SBRY,-0.213,-0.213
