date,ticker,Close,High,Low,Open,Volume,SMA_10,STOCH_K_14,MACD_signal_9,RSI_14,CCI_20,daily_compound_sentiment,eps_surprise_pct,sue
2025-02-17,CPI,204.5998992919922,217.49989318847656,202.49989318847656,202.49989318847656,303889,212.5198974609375,9.448831511590768,-2.0762057982668174,40.14085364674261,-102.19681307557504,,,
2025-02-18,CPI,202.7998962402344,209.99989318847656,201.2998962402344,202.7998962402344,109600,210.89989776611327,4.854367493752046,-2.281296690666549,40.42552884487049,-158.6125202754497,,,
2025-02-19,CPI,200.6999053955078,204.89990234375,197.6999053955078,202.49989318847656,185027,208.82989807128905,8.695652173913043,-2.5296984358975507,36.36364283059369,-192.18445631481143,,,
2025-02-20,CPI,199.49989318847656,205.49989318847656,198.2998962402344,199.49989318847656,195399,206.2198974609375,5.217355921648551,-2.805604754123664,29.104488092648864,-164.07728577559496,,,
2025-02-21,CPI,201.89990234375,206.6999053955078,199.49989318847656,199.49989318847656,157193,204.92989807128907,12.17390419780344,-3.0396016556282293,34.0579899771229,-120.13657810489543,,,
2025-02-24,CPI,201.2998962402344,216.2998962402344,199.7998962402344,202.1999053955078,294696,203.57989807128905,10.434756071671195,-3.237708922342936,26.77168917768856,-73.23361432722258,,,
2025-02-25,CPI,199.7998962402344,215.99989318847656,198.2998962402344,200.99989318847656,183596,202.67989807128907,6.086929984714674,-3.4194883813676284,20.96776707567284,-76.66162290488442,,,
2025-02-26,CPI,200.99989318847656,206.24989318847656,199.7998962402344,203.39990234375,381412,202.19989776611328,9.565182008605072,-3.55456575106723,14.035123725424242,-90.73625358109469,,,
2025-02-27,CPI,200.0998992919922,207.014892578125,197.99989318847656,198.89990234375,274545,201.5698974609375,6.956504047780797,-3.659547479642805,19.75313448374814,-87.57233432962775,,,
2025-02-28,CPI,195.89990234375,207.2998962402344,195.89990234375,198.5998992919922,301901,200.75989837646483,0.0,-3.7988301770883663,16.8421514762461,-97.96838112973582,,,
2025-03-03,CPI,197.6999053955078,202.1999053955078,187.49989318847656,194.99989318847656,510236,200.0698989868164,27.20003255208333,-3.914934328342716,27.160544216832747,-124.1740212166498,,,
2025-03-04,CPI,193.1999053955078,200.0998992919922,188.99989318847656,196.1999053955078,489555,199.10989990234376,19.000040690104168,-4.073296188976496,25.58144486350203,-130.33936374310684,,,
2025-03-05,CPI,208.7998962402344,217.1999053955078,192.73489379882807,194.99989318847656,1143798,199.9198989868164,71.00001017252605,-3.991670163986808,52.94116767082917,-5.393303805306436,,-1.208,-1.208
2025-03-06,CPI,203.0998992919922,210.89990234375,196.37989807128903,209.99989318847656,642620,200.279899597168,52.000020345052086,-3.845745651252432,48.979598898045694,-28.63833442428969,,-0.874,-0.874
2025-03-07,CPI,206.99989318847656,209.6999053955078,201.2998962402344,203.0998992919922,607074,200.78989868164064,65.65653867099599,-3.596182339056989,52.5316394573021,16.660830996986487,,,
2025-03-10,CPI,203.99989318847656,217.1999053955078,199.49989318847656,205.7998962402344,394770,201.05989837646484,55.55553272161198,-3.3344095772652915,51.23456499413353,47.24909756942612,,,
