date,title,url,domain,language,neg,neu,pos,compound,ticker
20200507T094500Z,dpa - AFX Overview : Analyst recommendations on U . K . stocks,https://www.finanznachrichten.de/nachrichten-2020-05/49588081-dpa-afx-overview-analyst-recommendations-on-u-k-stocks-020.htm,finanznachrichten.de,English,0,1,0,0,CRST
20200508T011500Z,Woman anger over  disgracefully  long delay in opening Bath bridge which has been shut since 2013,https://www.somersetlive.co.uk/news/somerset-news/womans-anger-over-disgracefully-long-4105746,somersetlive.co.uk,English,0.3,0.7,0,-0.7184,CRST
20200513T073000Z,Crest Nicholson eyes phased restart of operations next week | 13 May 2020,https://www.stockmarketwire.com/article/6917225/Crest-Nicholson-eyes-phased-restart-of-operations-next-week.html,stockmarketwire.com,English,0,1,0,0,CRST
20200513T090000Z,Housebuilders open up after lockdown measures eased,https://www.pressandjournal.co.uk/business/uk-and-abroad/2201962/housebuilders-open-up-after-lockdown-measures-eased/,pressandjournal.co.uk,English,0,0.732,0.268,0.296,CRST
20200513T090000Z,Housebuilders open up after lockdown measures eased,https://www.eveningexpress.co.uk/news/business/housebuilders-open-up-after-lockdown-measures-eased/,eveningexpress.co.uk,English,0,0.732,0.268,0.296,CRST
20200513T094500Z,Housebuilders open up after lockdown measures eased,https://www.independent.ie/world-news/housebuilders-open-up-after-lockdown-measures-eased-39202857.html,independent.ie,English,0,0.732,0.268,0.296,CRST
20200513T101500Z,Housebuilders open up after lockdown measures eased,https://www.aol.co.uk/news/2020/05/13/housebuilders-open-up-after-lockdown-measures-eased/,aol.co.uk,English,0,0.732,0.268,0.296,CRST
20200513T101500Z,Crest Nicholson to reopen construction sites | Mortgage Introducer,https://www.mortgageintroducer.com/crest-nicholson-reopen-construction,mortgageintroducer.com,English,0,1,0,0,CRST
20200513T113000Z,UK housing market : Estate agent and developer stocks jump as rules relax : CityAM,https://www.cityam.com/estate-agent-and-developer-stocks-jump-as-restrictions-on-uk-housing-market-ease/,cityam.com,English,0,0.805,0.195,0.4404,CRST
20200513T113000Z,Crest Nicholson starts reopening next week,https://www.theconstructionindex.co.uk/news/view/crest-nicholson-starts-reopening-next-week,theconstructionindex.co.uk,English,0,1,0,0,CRST
20200513T113000Z,Coronavirus united kingdom : Homes flood the market as desperate owners battle to sell,https://www.dailymail.co.uk/news/article-8315081/Coronavirus-UK-Homes-flood-market-desperate-owners-battle-sell.html,dailymail.co.uk,English,0.277,0.565,0.158,-0.2732,CRST
20200513T120000Z,FTSE lower at midday | 13 May 2020 | Stock Market Wire,https://www.stockmarketwire.com/article/6917783/FTSE-lower-at-midday.html,stockmarketwire.com,English,0.196,0.804,0,-0.296,CRST
20200513T140000Z,Taylor Wimpey gives NHS staff 5 % discount on new home,https://www.thisismoney.co.uk/money/markets/article-8314575/Taylor-Wimpey-gives-NHS-staff-5-discount-new-home.html,thisismoney.co.uk,English,0,1,0,0,CRST
20200513T163000Z,Crest Nicholson to reopen sites as house moves permitted,https://www.constructionnews.co.uk/buildings/crest-nicholson-to-reopen-sites-as-house-moves-permitted-13-05-2020/,constructionnews.co.uk,English,0,1,0,0,CRST
20200513T163000Z,Crest Nicholson to reopen sites next week,https://www.building.co.uk/news/crest-nicholson-to-reopen-sites-next-week/5105977.article,building.co.uk,English,0,1,0,0,CRST
20200513T183000Z,"Building sites allowed to stay open longer , says Communities Secretary",https://www.bucksfreepress.co.uk/news/national/18447248.building-sites-allowed-stay-open-longer-says-communities-secretary/,bucksfreepress.co.uk,English,0,1,0,0,CRST
20200513T183000Z,"Building sites allowed to stay open longer , says Communities Secretary",https://www.somersetcountygazette.co.uk/news/national/18447248.building-sites-allowed-stay-open-longer-says-communities-secretary/,somersetcountygazette.co.uk,English,0,1,0,0,CRST
20200513T183000Z,"Building sites allowed to stay open longer , says Communities Secretary",https://www.halesowennews.co.uk/news/national/18447248.building-sites-allowed-stay-open-longer-says-communities-secretary/,halesowennews.co.uk,English,0,1,0,0,CRST
20200513T183000Z,"Building sites allowed to stay open longer , says Communities Secretary",https://www.wandsworthguardian.co.uk/news/national/18447248.building-sites-allowed-stay-open-longer-says-communities-secretary/,wandsworthguardian.co.uk,English,0,1,0,0,CRST
20200513T183000Z,"Building sites allowed to stay open longer , says Communities Secretary",https://www.tivysideadvertiser.co.uk/news/national/18447248.building-sites-allowed-stay-open-longer-says-communities-secretary/,tivysideadvertiser.co.uk,English,0,1,0,0,CRST
20200513T183000Z,"Building sites allowed to stay open longer , says Communities Secretary",https://www.harrowtimes.co.uk/news/national/18447248.building-sites-allowed-stay-open-longer-says-communities-secretary/,harrowtimes.co.uk,English,0,1,0,0,CRST
20200513T183000Z,"Building sites allowed to stay open longer , says Communities Secretary",https://www.guardian-series.co.uk/news/national-news/18447248.building-sites-allowed-stay-open-longer-says-communities-secretary/,guardian-series.co.uk,English,0,1,0,0,CRST
20200513T183000Z,"Building sites allowed to stay open longer , says Communities Secretary",https://www.times-series.co.uk/news/national/18447248.building-sites-allowed-stay-open-longer-says-communities-secretary/,times-series.co.uk,English,0,1,0,0,CRST
20200513T183000Z,"Building sites allowed to stay open longer , says Communities Secretary",https://www.braintreeandwithamtimes.co.uk/news/national/18447248.building-sites-allowed-stay-open-longer-says-communities-secretary/,braintreeandwithamtimes.co.uk,English,0,1,0,0,CRST
20200513T184500Z,"Building sites allowed to stay open longer , says Communities Secretary",https://www.aol.co.uk/news/2020/05/13/building-sites-allowed-to-stay-open-longer-says-communities-sec/,aol.co.uk,English,0,1,0,0,CRST
20200513T190000Z,"Building sites allowed to stay open longer , says Communities Secretary",https://www.eveningexpress.co.uk/news/business/building-sites-allowed-to-stay-open-longer-says-communities-secretary/,eveningexpress.co.uk,English,0,1,0,0,CRST
