Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual,Feature_Set
SVM,7-day,CRST,171,0.543859649122807,0.5611993428258488,0.5217391304347826,0.7228915662650602,0.6060606060606061,0.4853801169590643,Without Behavioral
SVM,7-day,LLOY,171,0.6257309941520468,0.5059871495327102,0.6369426751592356,0.9345794392523364,0.7575757575757576,0.6257309941520468,Without Behavioral
SVM,7-day,RR,170,0.5176470588235295,0.424313558116375,0.5594405594405595,0.8080808080808081,0.6611570247933884,0.5823529411764706,Without Behavioral
SVM,7-day,SBRY,171,0.543859649122807,0.5989697802197802,0.549618320610687,0.7912087912087912,0.6486486486486487,0.5321637426900585,Without Behavioral
LSTM,30-day,ASC,166,0.5301204819277109,0.2473369327301911,0.5333333333333333,0.9887640449438202,0.6929133858267716,0.536144578313253,Without Behavioral
LSTM,30-day,CPI,166,0.5240963855421686,0.3333333333333333,0.5240963855421686,1.0,0.6877470355731226,0.5240963855421686,Without Behavioral
LSTM,30-day,CRST,166,0.3734939759036144,0.3450682382133995,0.3734939759036144,1.0,0.543859649122807,0.3734939759036144,Without Behavioral
LSTM,30-day,LLOY,166,0.7349397590361446,0.3641952309985096,0.7349397590361446,1.0,0.8472222222222222,0.7349397590361446,Without Behavioral
LSTM,30-day,RR,165,0.5636363636363636,0.4311529271206691,0.5636363636363636,1.0,0.7209302325581395,0.5636363636363636,Without Behavioral
LSTM,30-day,SBRY,166,0.3975903614457831,0.4177596864164028,0.4,0.9850746268656716,0.5689655172413793,0.4036144578313253,Without Behavioral
Logistic Regression,30-day,ASC,166,0.5301204819277109,0.4818327739676054,0.5333333333333333,0.9887640449438202,0.6929133858267716,0.536144578313253,Without Behavioral
Logistic Regression,30-day,CPI,166,0.5240963855421686,0.3761094136476066,0.524390243902439,0.9885057471264368,0.6852589641434262,0.5240963855421686,Without Behavioral
Logistic Regression,30-day,CRST,166,0.3795180722891566,0.625,0.3757575757575757,1.0,0.5462555066079295,0.3734939759036144,Without Behavioral
Logistic Regression,30-day,LLOY,166,0.7349397590361446,0.5927719821162444,0.7349397590361446,1.0,0.8472222222222222,0.7349397590361446,Without Behavioral
Logistic Regression,30-day,RR,165,0.5636363636363636,0.4669952210274791,0.5644171779141104,0.989247311827957,0.71875,0.5636363636363636,Without Behavioral
Logistic Regression,30-day,SBRY,166,0.3674698795180723,0.4489672847881803,0.38125,0.9104477611940298,0.5374449339207048,0.4036144578313253,Without Behavioral
